Trace | 11.11.2020 11:36:28 Result: 175753.410310
Trace | 11.11.2020 11:36:28 Result: 175753.410310
Trace | 11.11.2020 11:36:28 Result: 175753.410310
Trace | 11.11.2020 11:36:29 Result: 175753.410310
Trace | 11.11.2020 11:49:33 Result: 5.775453
Trace | 11.11.2020 11:49:33 Result: 5.775453
Trace | 11.11.2020 11:49:43 Result: 175753.410310
Trace | 11.11.2020 11:49:44 Result: 175731.922658
Trace | 11.11.2020 11:51:50 Result: 12972.228800
Trace | 11.11.2020 11:51:50 Result: 12972.228800
Trace | 11.11.2020 11:51:59 Result: 175753.410310
Trace | 11.11.2020 11:52:0 Result: 175753.410310
Trace | 11.11.2020 11:54:45 Result: 12972.228800
Trace | 11.11.2020 11:54:45 Result: 12972.228800
Trace | 11.11.2020 11:54:54 Result: 175753.410310
Trace | 11.11.2020 11:54:54 Result: 175753.410310
Trace | 11.11.2020 11:59:18 Result: 5.775453
Trace | 11.11.2020 11:59:18 Result: 5.775453
Trace | 11.11.2020 11:59:49 Result: 39.639888
Trace | 11.11.2020 11:59:49 Result: 39.639888
Trace | 11.11.2020 11:59:59 Result: 12972.228800
Trace | 11.11.2020 11:59:59 Result: 12972.228800
Trace | 11.11.2020 12:1:30 Result: 12972.228800
Trace | 11.11.2020 12:1:30 Result: 12972.228800
Trace | 11.11.2020 12:1:38 Result: 175753.410310
Trace | 11.11.2020 12:1:38 Result: 175753.410310
Trace | 11.11.2020 12:2:0 Result: -227941.580704
Trace | 11.11.2020 12:2:5 Result: -227941.580704
Trace | 11.11.2020 12:7:50 Result: 12972.228800
Trace | 11.11.2020 12:14:24 Result: 12972.228800
Trace | 11.11.2020 12:14:24 Result: 12972.228800
Trace | 11.11.2020 12:14:46 Result: 12972.228800
Trace | 11.11.2020 12:14:46 Result: 12972.228800
Trace | 11.11.2020 12:17:17 Result: 12972.228800
Trace | 11.11.2020 12:17:17 Result: 12972.228800
Trace | 11.11.2020 12:17:26 Result: 175753.410310
Trace | 11.11.2020 12:17:27 Result: 175753.410310
Trace | 11.11.2020 12:18:16 Result: 12972.228800
Trace | 11.11.2020 12:18:16 Result: 12972.228800
Trace | 11.11.2020 12:19:19 Result: 5.775453
Trace | 11.11.2020 12:19:19 Result: 5.775453
Trace | 11.11.2020 12:19:30 Result: 12972.228800
Trace | 11.11.2020 12:19:30 Result: 12972.228800
Trace | 11.11.2020 12:19:45 Result: 175753.410310
Trace | 11.11.2020 12:19:45 Result: 175753.410310
Trace | 11.11.2020 12:20:30 Result: 175753.410310
Trace | 11.11.2020 12:20:31 Result: 175665.564030
Trace | 11.11.2020 12:21:3 Result: 12972.228800
Trace | 11.11.2020 12:21:3 Result: 12965.681387
Trace | 11.11.2020 12:22:38 Result: 12972.228800
Trace | 11.11.2020 12:22:38 Result: 12972.228800
Trace | 11.11.2020 12:22:52 Result: 175753.410310
Trace | 11.11.2020 12:22:53 Result: 175753.410310
Trace | 11.11.2020 12:30:41 Result: 175753.410310
Trace | 11.11.2020 12:30:41 Result: 175753.410310
Trace | 11.11.2020 12:31:19 Result: 175753.410310
Trace | 11.11.2020 12:31:19 Result: 175753.410310
Trace | 11.11.2020 12:37:25 Result: 12972.228800
Trace | 11.11.2020 12:37:25 Result: 12972.228800
Trace | 11.11.2020 12:38:5 Result: 12972.228800
Trace | 11.11.2020 12:38:5 Result: 12972.228800
Trace | 11.11.2020 12:40:53 Result: 175753.410310
Trace | 11.11.2020 12:40:54 Result: 175753.410310
Trace | 11.11.2020 12:43:11 Result: 175753.410310
Trace | 11.11.2020 12:43:15 Result: 175753.410310
Trace | 11.11.2020 12:45:44 Result: 12972.228800
Trace | 11.11.2020 12:45:44 Result: 12972.228800
Trace | 11.11.2020 12:46:1 Result: 175753.410310
Trace | 11.11.2020 12:46:1 Result: 175753.410310
Trace | 11.11.2020 12:53:26 Result: 12972.228800
Trace | 11.11.2020 12:53:26 Result: 12972.228800
Trace | 11.11.2020 12:53:38 Result: 175753.410310
Trace | 11.11.2020 12:53:38 Result: 175753.410310
Trace | 11.11.2020 12:53:58 Result: 175753.410310
Trace | 11.11.2020 12:53:58 Result: 175753.410310
Trace | 11.11.2020 12:54:22 Result: 175753.410310
Trace | 11.11.2020 12:54:22 Result: 175752.130953
Trace | 11.11.2020 12:55:13 Result: 175753.410310
Trace | 11.11.2020 12:55:14 Result: 175753.410310
Trace | 11.11.2020 12:55:30 Result: 39.639888
Trace | 11.11.2020 12:55:30 Result: 39.639888
Trace | 11.11.2020 12:55:39 Result: 175753.410310
Trace | 11.11.2020 12:55:40 Result: 175753.410310
Trace | 11.11.2020 13:12:16 Result: 175753.410310
Trace | 11.11.2020 13:12:16 Result: 175753.410310
